constraint_name,friendly_name,description,constraint_type,category,mandatory,repeatable,weight_range,typical_weight,use_case,target_entity,complexity_level,implementation_priority,common_parameters,example_scenario,benefits,warnings,best_practices
ConstraintBasicCompulsoryTime,Basic Compulsory Time,Ensures that a teacher never instructs two or more activities at the same time and students have maximum one activity per period. Essential foundation constraint that must always be included.,time,basic,true,false,100,100,Essential foundation constraint,teachers_students,low,critical,Active|Comments|Weight_Percentage,Mr. Johnson teaches both 9A Mathematics and 10B Physics - system ensures only one class per time slot,Clean conflict-free basic timetable structure,Must be included in every timetable,Always set weight to 100%
ConstraintBasicCompulsorySpace,Basic Compulsory Space,Ensures that a room never has two or more activities scheduled simultaneously. Essential foundation constraint for room allocation.,space,basic,true,false,100,100,Essential foundation constraint for room allocation,rooms,low,critical,Active|Comments|Weight_Percentage,Science Lab 1 needed for both Chemistry and Physics - system ensures only one class uses lab per time slot,Prevents physical space conflicts and ensures proper supervision,Must be included in every timetable,Always set weight to 100%
ConstraintTeacherNotAvailableTimes,Teacher Not Available Times,Blocks specific time periods when teachers cannot teach due to meetings training or personal commitments. Not available periods are not counted as gaps in gap calculations.,time,availability,true,true,100,100,Teacher has meetings training or personal commitments,teachers,low,high,Active|Comments|Not_Available_Time|Number_of_Not_Available_Times|Teacher|Weight_Percentage,Ms. Rodriguez unavailable Mondays 1st period for weekly department meetings,Accommodates teacher commitments and prevents scheduling conflicts,Can create substitution problems if overused,Add early in setup process; use for regular commitments
ConstraintStudentsSetNotAvailableTimes,Students Set Not Available Times,Blocks specific time periods when student groups cannot attend classes due to assemblies field trips or special events.,time,availability,true,true,100,100,School assemblies field trips special events,students,low,high,Active|Comments|Not_Available_Time|Number_of_Not_Available_Times|Students|Weight_Percentage,All Year 7 students unavailable Tuesdays 1st period for year group assembly,Accommodates school events and external commitments,Complex for overlapping groups,Consider partial group unavailability carefully
ConstraintBreakTimes,Break Times,Easy way to declare that all teachers and students are unavailable during breaks. Used for lunch breaks assembly periods whole-school events.,time,availability,true,true,100,100,Lunch breaks assembly periods whole-school events,teachers_students,low,high,Active|Break_Time|Comments|Number_of_Break_Times|Weight_Percentage,Daily lunch break from 12:30-13:20,Simplifies break time management,None significant,Use for regular school-wide breaks
ConstraintRoomNotAvailableTimes,Room Not Available Times,Blocks specific time periods when rooms cannot be used due to maintenance special events or shared facilities.,space,availability,true,true,100,100,Room maintenance special events shared facilities,rooms,low,medium,Active|Comments|Not_Available_Time|Number_of_Not_Available_Times|Room|Weight_Percentage,Gymnasium unavailable Tuesday mornings for external basketball league,Prevents scheduling in unavailable spaces,Plan around maintenance schedules,Coordinate with facility management
ConstraintMinDaysBetweenActivities,Minimum Days Between Activities,Ensures activities are spread across multiple days. Prevents clustering all lessons of a subject on consecutive days. Automatically added for split activities.,time,distribution,true,true,0-100,95,Prevents clustering all lessons of a subject on consecutive days,activities,medium,high,Active|Activity_Id|Comments|Consecutive_If_Same_Day|MinDays|Number_of_Activities|Weight_Percentage,Mathematics course 4 periods per week split as 1+1+1+1 with min 1 day between,Better learning retention and prevents student fatigue,Can conflict with max days constraints,Use high weight (95-100%) for pedagogical requirements
ConstraintStudentsMaxGapsPerWeek,Students Max Gaps Per Week,Limits the maximum number of free periods (gaps) students can have per week. Maintains structured learning environment and supervision requirements especially important for younger students.,time,gaps,true,true,0-100,100,Maintains structured learning environment and supervision requirements,students,low,high,Active|Comments|Max_Gaps|Weight_Percentage,Elementary students have zero gaps allowed for supervision requirements,Structured learning environment and proper supervision,May reduce scheduling flexibility,Set to 0 for primary students; adjust for secondary
ConstraintStudentsSetMaxGapsPerWeek,Students Set Max Gaps Per Week,Limits maximum gaps for specific student groups. Allows differentiated gap policies by year level.,time,gaps,true,true,0-100,95,Allows differentiated gap policies by year level,students,low,medium,Active|Comments|Max_Gaps|Students|Weight_Percentage,Year 7 students maximum 2 gaps per week while Year 12 students allowed 5 gaps,Differentiated supervision and age-appropriate scheduling,Complex for multiple year levels,Tailor to age groups and supervision capacity
ConstraintStudentsSetMaxGapsPerDay,Students Set Max Gaps Per Day,Prevents scattered schedules within a day for specific student groups. Maintains structured learning environment.,time,gaps,true,true,0-100,95,Prevents scattered schedules within a day,students,low,medium,Active|Comments|Max_Gaps|Students|Weight_Percentage,Middle school students maximum 1 gap per day to maintain focus,Concentrated learning periods and better attention span,May conflict with teacher gap constraints,Balance with teacher efficiency needs
ConstraintTeachersMaxGapsPerWeek,Teachers Max Gaps Per Week,Minimizes free periods during work days for efficiency and teacher satisfaction. Recommended for optimization helps create efficient schedules.,time,gaps,true,false,0-100,90,Efficiency and teacher satisfaction,teachers,medium,high,Active|Comments|Max_Gaps|Weight_Percentage,Experienced teachers maximum 2 gaps per week for efficiency,Improved teacher satisfaction and schedule efficiency,Can make timetabling impossible if too restrictive,Start with 8 gaps and gradually reduce
ConstraintTeachersMaxGapsPerDay,Teachers Max Gaps Per Day,Prevents scattered schedules within a day for all teachers. Improves teacher efficiency and reduces waiting time.,time,gaps,true,false,0-100,85,Improves teacher efficiency and reduces waiting time,teachers,medium,medium,Active|Comments|Max_Gaps|Weight_Percentage,Maximum 1 gap per day for department heads,Concentrated teaching periods and reduced waiting,Can conflict with room availability,Balance with facility constraints
ConstraintTeacherMaxGapsPerWeek,Teacher Max Gaps Per Week,Minimizes free periods during work days for specific teacher. Individual version for personalized gap management.,time,gaps,true,true,0-100,85,Individual version for personalized gap management,teachers,medium,medium,Active|Comments|Max_Gaps|Teacher_Name|Weight_Percentage,Ms. Johnson maximum 3 gaps per week for efficient schedule,Personalized schedule optimization,Requires individual configuration,Prioritize for key teachers first
ConstraintTeacherMaxGapsPerDay,Teacher Max Gaps Per Day,Prevents scattered schedules within a day for specific teacher. Individual version for customized scheduling.,time,gaps,true,true,0-100,85,Individual version for customized scheduling,teachers,medium,low,Active|Comments|Max_Gaps|Teacher_Name|Weight_Percentage,Art teacher maximum 2 gaps per day due to equipment setup needs,Customized efficiency for specific roles,Administrative overhead,Use for teachers with special requirements
ConstraintTeachersMaxHoursDaily,Teachers Max Hours Daily,Prevents teacher overload on single days for workload balancing and teacher wellbeing. Recommended for maintaining balanced schedules.,time,daily_hours,true,false,0-100,90,Workload balancing and teacher wellbeing,teachers,low,high,Active|Comments|Maximum_Hours_Daily|Weight_Percentage,Full-time teachers maximum 6 hours daily,Balanced workload and teacher wellbeing,May limit scheduling flexibility,Adjust for school context and teacher contracts
ConstraintTeacherMaxHoursDaily,Teacher Max Hours Daily,Prevents specific teacher overload on single days. Individual teacher version for customized workload management.,time,daily_hours,true,true,0-100,90,Individual teacher version for customized workload management,teachers,low,medium,Active|Comments|Maximum_Hours_Daily|Teacher|Teacher_Name|Weight_Percentage,Department head maximum 5 hours teaching allowing admin time,Customized workload management,Requires individual setup,Use for teachers with special roles
